month,S&P 500,S&P 500 TR,Nikkei 225,Nikkei 225 TR
,https://www.investing.com/indices/us-spx-500-historical-data,https://www.investing.com/indices/s-p-500-tr-historical-data,,
03-Jul,993.32,,"9,563.21","11,795.33"
03-Jun,974.5,,"9,083.11","11,202.71"
03-May,963.59,,"8,424.51","10,386.99"
03-Apr,916.92,,"7,831.42","9,655.01"
03-Mar,848.18,,"7,972.71","9,829.38"
03-Feb,841.15,,"8,363.04","10,256.03"
03-Jan,855.7,,"8,339.94","10,224.33"
02-Dec,879.82,,"8,578.95","10,515.49"
02-Nov,936.31,,"9,215.56","11,291.26"
02-Oct,885.76,,"8,640.48","10,585.09"
02-Sep,815.28,,"9,383.29","11,494.86"
02-Aug,916.07,,"9,619.30","11,746.12"
02-Jul,911.62,,"9,877.94","12,060.08"
02-Jun,989.82,,"10,621.84","12,967.74"
02-May,"1,067.14",,"11,763.70","14,358.68"
02-Apr,"1,076.92",,"11,492.54","14,027.02"
02-Mar,"1,147.39",,"11,024.94","13,456.44"
02-Feb,"1,106.73",,"10,587.83","12,874.31"
02-Jan,"1,130.20",,"9,997.80",
01-Dec,"1,148.08",,"10,542.62",
01-Nov,"1,139.45",,"10,697.44",
01-Oct,"1,059.78",,"10,366.34",
01-Sep,"1,040.94",,"9,774.68",
01-Aug,"1,133.58",,"10,713.51",
01-Jul,"1,211.23",,"11,860.77",
01-Jun,"1,224.38",,"12,969.05",
01-May,"1,255.82",,"13,262.14",
01-Apr,"1,249.46",,"13,934.32",
01-Mar,"1,160.33",,"12,999.70",
01-Feb,"1,239.94",,"12,883.54",
01-Jan,"1,366.01",,"13,843.55",
Dec-00,"1,320.28",,"13,785.69",
Nov-00,"1,314.95",,"14,648.51",
Oct-00,"1,429.40",,"14,539.60",
Sep-00,"1,436.51",,"15,747.26",
Aug-00,"1,517.68",,"16,861.26",
Jul-00,"1,430.83",,"15,727.49",
Jun-00,"1,454.60",,"17,411.05",
May-00,"1,420.60",,"16,332.45",
Apr-00,"1,452.43",,"17,973.70",
Mar-00,"1,498.58",,"20,337.32",
Feb-00,"1,366.42",,"19,959.52",
Jan-00,"1,394.46",,"19,539.70",
Dec-99,"1,469.25",,"18,934.34",
Nov-99,"1,388.91",,"18,558.23",
Oct-99,"1,362.93",,"17,942.08",
Sep-99,"1,282.71",,"17,605.46",
